高於閾值？,人均 GDP,出生率資料桶,預期壽命,Co2 排放量,GDP,記錄數,人口 0-14,人口 15-64,人口 65+,人口總數,人均 GDP(資料桶),人均醫療費用,入境旅遊,出境旅遊,出生率,區域,經商便利度(叢集),國家/地區,城市人口,女性預期壽命,年份,新生兒死亡率,營業稅稅率,男性預期壽命,經商便利度,網際網路使用率,能源使用,行動電話使用率,貸款利率,辦稅小時數,醫療費用 % Gdp,開業天數
低於閾值,$374,高於 3%,52,1342,$3B,1,0.438,0.529,0.033,9.2M,$0,$18,,$0B,4.1%,非洲,低,Guinea,32.1%,52,2003/12/1,0.092,,52,,1%,,1%,,,4.9%,40
低於閾值,$342,高於 3%,52,194,$0B,1,0.431,0.539,0.03,1.4M,$0,$20,$0B,$0B,4.1%,非洲,低,Guinea-Bissau,39.2%,53,2003/12/1,0.101,,51,,1%,,0%,,,5.8%,
低於閾值,$440,高於 3%,53,6755,$15B,1,0.432,0.541,0.028,33.9M,$0,$20,$1B,$0B,3.9%,非洲,中等,Kenya,20.9%,54,2003/12/1,0.065,,52,,3%,14769,5%,0.166,,4.4%,60
低於閾值,$510,高於 3%,44,,$1B,1,0.404,0.55,0.046,1.9M,$0,$36,$0B,$0B,3.0%,非洲,中等,Lesotho,21.1%,44,2003/12/1,0.083,,44,,2%,,7%,0.16,,7.1%,93
低於閾值,$131,高於 3%,54,532,$0B,1,0.432,0.537,0.03,3.1M,$0,$5,,,4.1%,非洲,低,Liberia,45.4%,54,2003/12/1,0.097,,53,,0%,,2%,0.171,,3.4%,
低於閾值,"$4,437",1.5-3%,73,49167,$24B,1,0.315,0.644,0.041,5.4M,$0,$194,$0B,$1B,2.3%,非洲,低,Libya,76.7%,75,2003/12/1,0.022,,71,,3%,17441,2%,0.07,,4.1%,
低於閾值,$317,高於 3%,61,1701,$5B,1,0.452,0.518,0.029,17.2M,$0,$15,$0B,$0B,3.9%,非洲,中等,Madagascar,27.9%,62,2003/12/1,0.061,,59,,0%,,2%,0.243,,4.8%,67
低於閾值,$198,高於 3%,47,957,$2B,1,0.461,0.509,0.03,12.2M,$0,$13,$0B,$0B,4.3%,非洲,低,Malawi,14.9%,47,2003/12/1,0.084,,47,,0%,,1%,0.489,,6.3%,45
低於閾值,$389,高於 3%,51,539,$4B,1,0.462,0.506,0.032,11.2M,$0,$24,$0B,$0B,4.8%,非洲,低,Mali,30.5%,50,2003/12/1,0.105,,51,,0%,,2%,,,6.2%,41
低於閾值,$527,高於 3%,61,1474,$2B,1,0.42,0.548,0.032,3.0M,$0,$23,,,3.7%,非洲,低,Mauritania,51.6%,62,2003/12/1,0.076,,59,,0%,,12%,0.21,,5.4%,82
低於閾值,"$4,588",1.5-3%,73,3146,$6B,1,0.249,0.687,0.064,1.2M,$0,$188,$1B,$0B,1.6%,非洲,非常友好,Mauritius,42.0%,76,2003/12/1,0.014,,69,,12%,,38%,0.21,,3.9%,
低於閾值,"$1,684",1.5-3%,69,37561,$50B,1,0.32,0.631,0.049,29.6M,$0,$88,$4B,$1B,2.1%,非洲,友好,Morocco,54.3%,70,2003/12/1,0.038,,67,,3%,11018,25%,0.126,,5.3%,36
低於閾值,$235,高於 3%,48,1918,$5B,1,0.444,0.525,0.032,19.9M,$0,$15,$0B,$0B,4.5%,非洲,中等,Mozambique,29.6%,49,2003/12/1,0.099,,46,,0%,8063,2%,0.247,,6.4%,153
低於閾值,"$2,489",高於 3%,54,1874,$5B,1,0.401,0.565,0.033,2.0M,$0,$162,$0B,$0B,3.0%,非洲,友好,Namibia,34.7%,56,2003/12/1,0.049,,52,,3%,1076,11%,0.147,,6.5%,85
低於閾值,$223,高於 3%,53,880,$3B,1,0.486,0.489,0.025,12.3M,$0,$15,$0B,$0B,5.2%,非洲,低,Niger,16.5%,53,2003/12/1,0.09,,53,,0%,,1%,,,6.8%,35
低於閾值,$510,高於 3%,48,93138,$68B,1,0.435,0.538,0.028,132.6M,$0,$39,$0B,$2B,4.3%,非洲,中等,Nigeria,37.4%,48,2003/12/1,0.103,,47,,1%,99007,2%,0.207,,7.5%,36
低於閾值,$202,高於 3%,52,682,$2B,1,0.452,0.521,0.027,9.1M,$0,$13,$0B,$0B,3.9%,非洲,友好,Rwanda,17.6%,53,2003/12/1,0.083,,51,,0%,,1%,0.171,,6.3%,18
低於閾值,$687,高於 3%,64,66,$0B,1,0.426,0.534,0.04,0.1M,$0,$78,$0B,$0B,3.7%,非洲,低,Sao Tome and Principe,56.3%,66,2003/12/1,0.052,,62,,10%,,3%,0.296,,11.8%,
低於閾值,$643,高於 3%,60,5013,$7B,1,0.445,0.524,0.032,10.7M,$0,$35,$0B,$0B,3.9%,非洲,低,Senegal,40.8%,61,2003/12/1,0.062,,58,,2%,2556,7%,,,5.4%,59
低於閾值,"$8,492",1.5-3%,71,557,$1B,1,0.258,0.664,0.078,0.1M,"$4,688",$403,$0B,$0B,1.8%,非洲,友好,Seychelles,50.6%,76,2003/12/1,0.012,,66,,15%,,59%,0.106,,4.8%,
高於閾值,$291,高於 3%,41,653,$1B,1,0.428,0.548,0.024,4.7M,$0,$45,$0B,$0B,4.3%,非洲,中等,Sierra Leone,36.4%,41,2003/12/1,0.133,,40,,0%,,2%,0.2,,15.5%,26
低於閾值,,高於 3%,52,576,,1,0.476,0.495,0.029,8.0M,,,,,4.7%,非洲,Not Clustered,Somalia,34.4%,53,2003/12/1,0.105,,50,,0%,,3%,,,,
低於閾值,"$3,620",1.5-3%,53,380811,$168B,1,0.316,0.645,0.039,46.4M,$0,$310,$7B,$4B,2.3%,非洲,非常友好,South Africa,58.4%,54,2003/12/1,0.053,,51,,7%,117374,36%,0.15,,8.6%,38
低於閾值,,高於 3%,50,,,1,0.444,0.525,0.031,7.4M,,,,,4.1%,非洲,低,South Sudan,16.9%,51,2003/12/1,0.095,,49,,,,,,,,
低於閾值,$589,高於 3%,59,9072,$18B,1,0.435,0.535,0.03,30.0M,$0,$23,$0B,$0B,3.9%,非洲,中等,Sudan,32.7%,61,2003/12/1,0.064,,57,,1%,14725,1%,,,3.8%,
低於閾值,"$1,704",高於 3%,46,1041,$2B,1,0.43,0.539,0.031,1.1M,$0,$98,$0B,$0B,3.2%,非洲,中等,Swaziland,22.3%,46,2003/12/1,0.082,,46,,2%,,8%,0.146,,5.8%,
低於閾值,$317,高於 3%,52,3806,$12B,1,0.446,0.524,0.03,36.8M,$0,$12,$1B,$0B,4.2%,非洲,中等,Tanzania,23.6%,53,2003/12/1,0.066,,51,,1%,15491,4%,0.145,,3.7%,28
低於閾值,$318,高於 3%,54,1463,$2B,1,0.433,0.539,0.028,5.3M,$0,$18,$0B,$0B,3.9%,非洲,低,Togo,34.3%,55,2003/12/1,0.072,,53,,1%,2303,5%,,,5.6%,65
低於閾值,"$2,790",1.5-3%,73,21397,$27B,1,0.272,0.663,0.065,9.8M,$0,$151,$2B,$0B,1.7%,非洲,非常友好,Tunisia,64.6%,75,2003/12/1,0.022,,71,,7%,8028,20%,,,5.4%,11
低於閾值,$236,高於 3%,51,1709,$6B,1,0.494,0.481,0.026,26.8M,$0,$18,$0B,,4.7%,非洲,中等,Uganda,12.5%,51,2003/12/1,0.077,,51,,1%,,3%,0.189,,7.6%,34
低於閾值,$399,高於 3%,45,2101,$4B,1,0.464,0.509,0.027,10.9M,$0,$27,$0B,$0B,4.5%,非洲,友好,Zambia,35.8%,45,2003/12/1,0.086,,44,,1%,6828,2%,0.406,,6.7%,35
低於閾值,$452,高於 3%,43,10627,$6B,1,0.416,0.549,0.035,12.7M,$0,,$0B,,3.2%,非洲,低,Zimbabwe,34.5%,42,2003/12/1,0.058,,43,,6%,9500,3%,0.973,,,97
低於閾值,$198,高於 3%,56,583,$5B,1,0.494,0.485,0.02,23.1M,$0,$18,,,4.7%,亞洲,低,Afghanistan,22.2%,57,2003/12/1,0.088,,55,,0%,,1%,,,10.0%,
低於閾值,$925,低於 1.5%,73,3429,$3B,1,0.233,0.655,0.112,3.0M,$0,$51,$0B,$0B,1.4%,亞洲,非常友好,Armenia,64.3%,76,2003/12/1,0.023,,69,,5%,1981,4%,0.208,,5.6%,18
低於閾值,$884,低於 1.5%,68,30616,$7B,1,0.28,0.658,0.062,8.2M,$0,$57,$0B,$0B,1.4%,亞洲,友好,Azerbaijan,52.0%,71,2003/12/1,0.05,,65,,,12158,13%,0.155,,6.6%,105
低於閾值,$373,1.5-3%,67,33883,$52B,1,0.354,0.605,0.042,139.2M,$0,$11,$0B,$0B,2.5%,亞洲,中等,Bangladesh,25.4%,67,2003/12/1,0.056,,66,,0%,21713,1%,0.16,,3.0%,50
低於閾值,"$1,009",1.5-3%,63,378,$1B,1,0.365,0.595,0.04,0.6M,$0,$51,$0B,,2.5%,亞洲,低,Bhutan,28.7%,63,2003/12/1,0.051,,62,,2%,,0%,0.15,,5.1%,62
低於閾值,"$18,542",1.5-3%,77,5357,$7B,1,0.295,0.675,0.03,0.4M,"$14,064",$575,$0B,$0B,2.1%,亞洲,友好,Brunei,72.6%,79,2003/12/1,0.008,,75,,20%,2505,50%,0.055,,3.1%,
低於閾值,$360,1.5-3%,65,2380,$5B,1,0.379,0.58,0.041,12.9M,$0,$26,$0B,$0B,2.6%,亞洲,中等,Cambodia,18.9%,68,2003/12/1,0.063,,62,,0%,4115,4%,,,7.3%,94
低於閾值,"$1,273",低於 1.5%,74,4525177,"$1,640B",1,0.225,0.702,0.074,"1,288.4M",$0,$61,$19B,$17B,1.2%,亞洲,友好,China,39.8%,75,2003/12/1,0.024,,72,,6%,1427554,21%,0.053,,4.8%,48
低於閾值,$922,低於 1.5%,73,3773,$4B,1,0.197,0.664,0.139,4.3M,$0,$74,$0B,$0B,1.2%,亞洲,非常友好,Georgia,52.4%,76,2003/12/1,0.026,,69,,3%,2705,16%,0.238,,8.5%,25
低於閾值,"$23,920",低於 1.5%,82,40066,$161B,1,0.155,0.728,0.117,6.7M,"$23,440",,$9B,$11B,0.7%,亞洲,非常友好,Hong Kong SAR,100.0%,84,2003/12/1,,,79,,52%,13608,106%,0.05,,,11
低於閾值,$565,1.5-3%,64,1281914,$618B,1,0.33,0.624,0.046,"1,093.8M",$0,$24,$5B,$4B,2.4%,亞洲,中等,India,28.6%,65,2003/12/1,0.06,,62,,2%,489507,3%,0.115,,4.3%,89
低於閾值,"$1,077",1.5-3%,68,316792,$235B,1,0.301,0.651,0.048,218.1M,$0,$27,$4B,$4B,2.1%,亞洲,中等,Indonesia,44.4%,70,2003/12/1,0.036,,66,,2%,165366,9%,0.169,,2.5%,168
低於閾值,"$33,668",低於 1.5%,82,1237429,"$4,300B",1,0.141,0.672,0.188,127.7M,"$32,816","$2,693",$11B,$37B,0.9%,亞洲,非常友好,Japan,83.2%,85,2003/12/1,0.003,,78,,48%,506237,69%,0.018,,8.0%,31
低於閾值,"$2,068",1.5-3%,67,153816,$31B,1,0.257,0.67,0.074,14.9M,$0,$77,$1B,$1B,1.7%,亞洲,友好,Kazakhstan,55.1%,72,2003/12/1,0.032,,61,,2%,43041,9%,,,3.7%,26
低於閾值,,1.5-3%,68,77777,,1,0.253,0.679,0.068,23.4M,,,,,1.6%,亞洲,Not Clustered,North Korea,59.6%,71,2003/12/1,0.03,,64,,,20027,,,,,
低於閾值,"$14,229",低於 1.5%,78,466215,$681B,1,0.199,0.716,0.085,47.9M,"$14,064",$695,$7B,$11B,1.0%,亞洲,非常友好,South Korea,80.7%,81,2003/12/1,0.005,,74,,66%,202717,72%,0.062,,5.2%,17
低於閾值,$381,1.5-3%,69,5328,$2B,1,0.326,0.617,0.057,5.0M,$0,$21,$0B,$0B,2.1%,亞洲,友好,Kyrgyzstan,35.3%,72,2003/12/1,0.037,,65,,4%,2584,3%,0.191,,5.4%,21
低於閾值,$360,1.5-3%,64,1129,$2B,1,0.418,0.545,0.037,5.6M,$0,$18,$0B,$0B,2.9%,亞洲,低,Laos,25.1%,65,2003/12/1,0.075,,62,,0%,,2%,0.305,,4.9%,153
低於閾值,"$17,586",低於 1.5%,79,1536,$8B,1,0.197,0.73,0.074,0.5M,"$14,064",,$5B,$0B,0.8%,亞洲,Not Clustered,Macao SAR,100.0%,81,2003/12/1,,,76,,26%,,81%,0.06,,,
低於閾值,"$4,419",1.5-3%,74,160266,$110B,1,0.315,0.644,0.042,24.9M,$0,$172,$7B,$3B,2.0%,亞洲,非常友好,Malaysia,64.8%,76,2003/12/1,0.007,,71,,35%,54619,45%,0.063,,3.9%,37
低於閾值,"$3,303",1.5-3%,73,598,$1B,1,0.37,0.587,0.043,0.3M,$0,$199,$0B,$0B,2.2%,亞洲,友好,Maldives,31.3%,74,2003/12/1,0.025,,71,,6%,,23%,0.14,,6.0%,13
低於閾值,$646,1.5-3%,65,8034,$2B,1,0.311,0.652,0.037,2.5M,$0,$48,$0B,$0B,1.9%,亞洲,友好,Mongolia,60.4%,68,2003/12/1,0.042,,61,,,2525,13%,0.319,,7.4%,20
低於閾值,,1.5-3%,63,9846,,1,0.29,0.661,0.048,49.6M,,$4,$0B,$0B,2.0%,亞洲,低,Myanmar,28.1%,65,2003/12/1,0.054,,61,,0%,14064,0%,0.15,,2.3%,
低於閾值,$258,高於 3%,64,2952,$6B,1,0.399,0.559,0.041,24.5M,$0,$14,$0B,$0B,3.0%,亞洲,中等,Nepal,14.6%,65,2003/12/1,0.052,,63,,0%,8707,0%,0.074,,5.4%,31
低於閾值,$546,1.5-3%,65,118895,$83B,1,0.395,0.564,0.04,152.4M,$0,$16,$1B,$1B,2.9%,亞洲,中等,Pakistan,34.1%,65,2003/12/1,0.083,,64,,5%,68695,2%,,,2.9%,24
低於閾值,"$1,016",1.5-3%,68,71532,$84B,1,0.377,0.59,0.033,82.6M,$0,$33,$2B,$2B,2.8%,亞洲,中等,Philippines,47.1%,71,2003/12/1,0.029,,64,,5%,38822,27%,0.095,,3.2%,49
低於閾值,"$23,574",低於 1.5%,80,31133,$97B,1,0.201,0.72,0.079,4.1M,"$23,440",$823,$4B,$8B,1.1%,亞洲,非常友好,Singapore,100.0%,82,2003/12/1,0.003,,77,,54%,25634,84%,0.053,,3.6%,8
低於閾值,$985,1.5-3%,74,10660,$19B,1,0.258,0.675,0.067,19.2M,$0,$38,$1B,$0B,1.9%,亞洲,友好,Sri Lanka,18.4%,77,2003/12/1,0.013,,70,,2%,8682,7%,0.103,,3.9%,58
低於閾值,$238,1.5-3%,65,2076,$2B,1,0.402,0.561,0.037,6.5M,$0,$11,$0B,$0B,2.9%,亞洲,中等,Tajikistan,26.4%,69,2003/12/1,0.061,,61,,0%,2170,1%,0.167,,4.5%,
低於閾值,"$2,217",低於 1.5%,72,232198,$143B,1,0.231,0.696,0.073,64.5M,$0,$79,$10B,$4B,1.3%,亞洲,非常友好,Thailand,35.0%,75,2003/12/1,0.017,,68,,9%,89107,34%,0.059,,3.6%,33
低於閾值,$468,高於 3%,62,161,$0B,1,0.491,0.483,0.026,0.9M,$0,$24,,,3.9%,亞洲,低,Timor-Leste,25.3%,63,2003/12/1,0.072,,60,,,,2%,0.167,,7.5%,
低於閾值,"$1,286",1.5-3%,64,42215,$6B,1,0.342,0.613,0.045,4.6M,$0,$95,,,2.3%,亞洲,Not Clustered,Turkmenistan,46.6%,68,2003/12/1,0.062,,60,,0%,17629,0%,,,3.8%,
低於閾值,$396,1.5-3%,68,122683,$10B,1,0.349,0.605,0.046,25.6M,$0,$20,$0B,,2.0%,亞洲,低,Uzbekistan,37.0%,71,2003/12/1,0.049,,64,,2%,51412,1%,,,5.2%,29
低於閾值,$531,1.5-3%,75,78767,$43B,1,0.289,0.646,0.065,80.5M,$0,$25,$1B,,1.7%,亞洲,友好,Vietnam,26.1%,79,2003/12/1,0.025,,70,,4%,35111,3%,0.095,,5.2%,59
低於閾值,"$1,863",1.5-3%,76,4294,$6B,1,0.282,0.64,0.078,3.0M,$0,$108,$1B,$1B,1.6%,歐洲,友好,Albania,44.6%,79,2003/12/1,0.02,,72,,1%,1976,34%,0.143,,6.2%,41
低於閾值,"$25,355",低於 1.5%,,535,$2B,1,,,,0.1M,"$23,440","$1,891",,,1.0%,歐洲,Not Clustered,Andorra,91.2%,,2003/12/1,0.003,,,,14%,,69%,,,5.8%,
低於閾值,"$31,275",低於 1.5%,79,72317,$254B,1,0.165,0.678,0.157,8.1M,"$28,128","$3,223",$15B,$10B,1.0%,歐洲,非常友好,Austria,65.8%,82,2003/12/1,0.004,,76,,43%,32214,89%,,,10.3%,25
低於閾值,"$1,819",低於 1.5%,69,53722,$18B,1,0.166,0.691,0.143,9.8M,$0,$120,$0B,$0B,0.9%,歐洲,友好,Belarus,71.4%,75,2003/12/1,0.009,,63,,,26009,11%,0.24,,6.6%,79
低於閾值,"$30,069",低於 1.5%,78,114836,$312B,1,0.173,0.655,0.172,10.4M,"$28,128","$3,000",$9B,$13B,1.1%,歐洲,非常友好,Belgium,97.3%,81,2003/12/1,0.004,,75,,50%,59242,83%,0.069,,10.0%,56
低於閾值,"$2,148",低於 1.5%,76,23238,$8B,1,0.194,0.684,0.122,3.9M,$0,$174,$0B,$0B,0.9%,歐洲,中等,Bosnia and Herzegovina,39.2%,78,2003/12/1,0.007,,73,,4%,4400,28%,0.109,,8.0%,68
低於閾值,"$2,642",低於 1.5%,73,47308,$21B,1,0.143,0.685,0.171,7.8M,$0,$201,$2B,$1B,0.9%,歐洲,友好,Bulgaria,69.9%,76,2003/12/1,0.016,,69,,12%,19399,45%,0.085,,7.6%,32
低於閾值,"$7,690",低於 1.5%,75,23542,$34B,1,0.164,0.67,0.166,4.4M,"$4,688",$495,$7B,$1B,0.9%,歐洲,友好,Croatia,56.0%,78,2003/12/1,0.006,,71,,23%,8812,58%,0.116,,6.4%,29
低於閾值,"$13,344",低於 1.5%,79,7748,$13B,1,0.209,0.686,0.105,1.0M,"$9,376","$1,235",$2B,$1B,1.2%,歐洲,非常友好,Cyprus,68.6%,81,2003/12/1,0.005,,76,,30%,2332,55%,0.069,,6.8%,
低於閾值,"$9,348",低於 1.5%,76,122379,$95B,1,0.154,0.707,0.139,10.2M,"$4,688",$666,$4B,$2B,0.9%,歐洲,友好,Czech Republic,73.7%,79,2003/12/1,0.005,,72,,34%,44415,95%,0.059,,7.1%,40
低於閾值,"$39,513",低於 1.5%,78,55735,$213B,1,0.188,0.663,0.149,5.4M,"$37,504","$3,756",$5B,$7B,1.2%,歐洲,非常友好,Denmark,85.4%,80,2003/12/1,0.004,,75,,76%,20087,89%,,,9.5%,7
低於閾值,"$7,182",低於 1.5%,72,17052,$10B,1,0.161,0.676,0.163,1.4M,"$4,688",$352,$1B,$0B,1.0%,歐洲,非常友好,Estonia,69.0%,77,2003/12/1,0.007,,66,,45%,5188,78%,0.055,,4.9%,72
低於閾值,"$30,779",高於 3%,80,777,$1B,1,,,,0.0M,"$28,128",,,,,歐洲,Not Clustered,Faeroe Islands,38.7%,82,2003/12/1,,,77,,59%,,79%,,,,
低於閾值,"$31,460",低於 1.5%,79,68888,$164B,1,0.177,0.668,0.155,5.2M,"$28,128","$2,572",$3B,$3B,1.1%,歐洲,非常友好,Finland,82.6%,82,2003/12/1,0.003,,75,,69%,36747,91%,0.041,,8.2%,31
低於閾值,"$28,758",低於 1.5%,80,387591,"$1,790B",1,0.186,0.651,0.163,62.2M,"$28,128","$3,137",$46B,$33B,1.3%,歐洲,非常友好,France,76.6%,83,2003/12/1,0.004,,76,,36%,265879,69%,0.066,,10.8%,41
低於閾值,"$29,321",低於 1.5%,79,833406,"$2,420B",1,0.148,0.673,0.179,82.5M,"$28,128","$3,206",$30B,$73B,0.9%,歐洲,非常友好,Germany,73.2%,81,2003/12/1,0.004,,76,,56%,338070,77%,,,10.9%,45
低於閾值,"$17,516",低於 1.5%,79,95738,$193B,1,0.146,0.674,0.18,11.0M,"$14,064","$1,579",$11B,$2B,1.0%,歐洲,友好,Greece,73.7%,81,2003/12/1,0.006,,77,,18%,29141,81%,0.068,,8.9%,38
低於閾值,"$8,247",低於 1.5%,73,59072,$84B,1,0.16,0.685,0.155,10.1M,"$4,688",$706,$4B,$3B,0.9%,歐洲,友好,Hungary,65.5%,77,2003/12/1,0.008,,68,,22%,26136,78%,0.096,,8.6%,52
低於閾值,"$37,890",低於 1.5%,82,2167,$11B,1,0.225,0.658,0.117,0.3M,"$37,504","$4,020",$0B,$1B,1.4%,歐洲,非常友好,Iceland,92.8%,83,2003/12/1,0.003,,80,,83%,3273,97%,0.12,,10.6%,
低於閾值,"$39,785",1.5-3%,79,43337,$159B,1,0.208,0.681,0.111,4.0M,"$37,504","$2,918",$5B,$5B,1.5%,歐洲,非常友好,Ireland,59.9%,81,2003/12/1,0.005,,76,,34%,14061,87%,0.028,,7.3%,18
低於閾值,"$28,669",高於 3%,,,$2B,1,,,,0.1M,"$28,128",,,,,歐洲,Not Clustered,Isle of Man,51.9%,,2003/12/1,,,,,,,,,,,
低於閾值,"$26,346",低於 1.5%,80,468349,"$1,510B",1,0.142,0.667,0.192,57.3M,"$23,440","$2,157",$33B,$24B,0.9%,歐洲,友好,Italy,67.5%,83,2003/12/1,0.004,,77,,29%,179423,98%,0.058,,8.2%,23
低於閾值,"$1,970",1.5-3%,69,,$3B,1,,,,1.7M,$0,,,,1.8%,歐洲,友好,Kosovo,,71,2003/12/1,,,66,,,1994,,,,,
低於閾值,"$4,889",低於 1.5%,72,7088,$11B,1,0.158,0.679,0.163,2.3M,"$4,688",$295,$0B,$0B,0.9%,歐洲,非常友好,Latvia,67.8%,77,2003/12/1,0.012,,66,,27%,4324,53%,0.054,,6.2%,16
低於閾值,"$89,945",低於 1.5%,80,,$3B,1,,,,0.0M,"$89,072",,,,1.0%,歐洲,Not Clustered,Liechtenstein,14.9%,82,2003/12/1,,,78,,59%,,73%,,,,
低於閾值,"$5,449",低於 1.5%,73,12915,$19B,1,0.18,0.673,0.147,3.4M,"$4,688",$351,$1B,$0B,0.9%,歐洲,非常友好,Lithuania,66.7%,78,2003/12/1,0.009,,67,,26%,9253,62%,0.058,,6.5%,26
低於閾值,"$64,532",低於 1.5%,78,9905,$29B,1,0.189,0.668,0.144,0.5M,"$60,944","$4,984",$3B,$2B,1.2%,歐洲,友好,Luxembourg,85.7%,81,2003/12/1,0.003,,75,,55%,3843,121%,,,7.7%,
低於閾值,"$2,286",低於 1.5%,74,11309,$5B,1,0.208,0.684,0.108,2.1M,$0,$212,$0B,$0B,1.2%,歐洲,非常友好,North Macedonia,57.9%,76,2003/12/1,0.013,,71,,19%,2776,37%,0.16,,9.3%,48
低於閾值,"$12,845",低於 1.5%,79,2582,$5B,1,0.185,0.691,0.123,0.4M,"$9,376","$1,074",$1B,$0B,1.0%,歐洲,友好,Malta,93.2%,81,2003/12/1,0.006,,76,,32%,826,70%,0.059,,8.2%,
低於閾值,$548,低於 1.5%,68,4290,$2B,1,0.208,0.683,0.108,3.6M,$0,$46,$0B,$0B,1.2%,歐洲,友好,Moldova,45.5%,72,2003/12/1,0.021,,64,,7%,3360,12%,0.193,,8.3%,42
低於閾值,"$108,863",高於 3%,,,$4B,1,,,,0.0M,"$107,824","$4,216",,,,歐洲,Not Clustered,Monaco,100.0%,,2003/12/1,0.004,,,,50%,,46%,,,3.9%,
低於閾值,"$2,784",低於 1.5%,74,,$2B,1,0.205,0.67,0.125,0.6M,$0,$254,,,1.3%,歐洲,非常友好,Montenegro,61.6%,76,2003/12/1,0.011,,71,,,,,,,9.1%,
低於閾值,"$33,158",低於 1.5%,79,175041,$538B,1,0.186,0.676,0.138,16.2M,"$32,816","$3,249",$15B,$16B,1.2%,歐洲,非常友好,Netherlands,80.3%,81,2003/12/1,0.005,,76,,64%,78010,82%,0.03,,9.8%,9
低於閾值,"$49,290",低於 1.5%,80,42625,$225B,1,0.199,0.653,0.148,4.6M,"$46,880","$5,220",$3B,$7B,1.2%,歐洲,非常友好,Norway,77.2%,82,2003/12/1,0.004,,77,,78%,27020,89%,0.047,,10.6%,18
低於閾值,"$5,680",低於 1.5%,75,304856,$217B,1,0.174,0.696,0.13,38.2M,"$4,688",$354,$5B,$3B,0.9%,歐洲,非常友好,Poland,61.7%,79,2003/12/1,0.007,,71,,25%,91105,46%,0.073,,6.2%,31
低於閾值,"$15,489",低於 1.5%,78,61276,$162B,1,0.158,0.674,0.168,10.5M,"$14,064","$1,514",$8B,$3B,1.1%,歐洲,非常友好,Portugal,56.3%,81,2003/12/1,0.004,,74,,30%,25129,96%,,,9.7%,78
低於閾值,"$2,756",低於 1.5%,72,95940,$59B,1,0.166,0.691,0.143,21.6M,$0,$146,$1B,$1B,1.0%,歐洲,友好,Romania,52.9%,75,2003/12/1,0.021,,68,,9%,39525,32%,0.254,,5.3%,29
低於閾值,"$2,972",低於 1.5%,66,1604973,$430B,1,0.162,0.705,0.134,144.7M,$0,$167,$6B,$13B,1.0%,歐洲,中等,Russia,73.4%,72,2003/12/1,0.017,,59,,8%,645323,25%,0.13,,5.6%,43
低於閾值,"$39,128",高於 3%,82,,$1B,1,,,,0.0M,"$37,504","$2,837",,,,歐洲,友好,San Marino,94.0%,85,2003/12/1,0.004,,78,,50%,,59%,0.075,,5.1%,
低於閾值,"$2,614",低於 1.5%,73,,$20B,1,0.189,0.674,0.137,7.5M,$0,$171,$0B,$0B,1.1%,歐洲,友好,Serbia,54.0%,75,2003/12/1,0.009,,70,,,16635,,0.155,,8.8%,56
低於閾值,"$8,530",低於 1.5%,74,39494,$46B,1,0.179,0.706,0.116,5.4M,"$4,688",$360,$1B,$1B,1.0%,歐洲,非常友好,Slovakia,55.9%,78,2003/12/1,0.009,,70,,43%,18639,68%,0.085,,5.8%,103
低於閾值,"$14,607",低於 1.5%,77,15500,$29B,1,0.147,0.703,0.15,2.0M,"$14,064","$1,263",$1B,$1B,0.9%,歐洲,非常友好,Slovenia,50.7%,81,2003/12/1,0.004,,73,,32%,6912,87%,0.108,,8.6%,60
低於閾值,"$20,954",低於 1.5%,80,321097,$884B,1,0.145,0.687,0.169,42.2M,"$18,752","$1,730",$44B,$11B,1.0%,歐洲,非常友好,Spain,76.8%,83,2003/12/1,0.005,,76,,40%,133196,89%,,,8.2%,114
低於閾值,"$35,163",低於 1.5%,80,54781,$315B,1,0.179,0.649,0.172,9.0M,"$32,816","$3,277",$7B,$9B,1.1%,歐洲,非常友好,Sweden,84.2%,82,2003/12/1,0.003,,78,,79%,50618,98%,0.048,,9.3%,16
低於閾值,"$45,647",低於 1.5%,81,40205,$335B,1,0.168,0.676,0.156,7.3M,"$42,192","$5,002",$10B,$9B,1.0%,歐洲,非常友好,Switzerland,73.4%,83,2003/12/1,0.004,,78,,65%,25996,85%,0.033,,10.9%,20
低於閾值,"$4,595",1.5-3%,72,218509,$303B,1,0.293,0.643,0.064,65.9M,$0,$232,$13B,$2B,2.0%,歐洲,友好,Turkey,66.6%,75,2003/12/1,0.029,,68,,12%,77833,42%,,,5.3%,38
低於閾值,"$1,049",低於 1.5%,69,352259,$50B,1,0.156,0.693,0.15,47.8M,$0,$73,$1B,$1B,0.9%,歐洲,中等,Ukraine,67.4%,74,2003/12/1,0.014,,63,,3%,144641,14%,0.179,,6.9%,40
低於閾值,"$31,518",低於 1.5%,79,540640,"$1,880B",1,0.183,0.658,0.159,59.6M,"$28,128","$2,444",$31B,$59B,1.2%,歐洲,非常友好,United Kingdom,79.3%,81,2003/12/1,0.005,,76,,65%,222080,91%,0.037,,7.8%,13
低於閾值,"$14,345",1.5-3%,75,16468,$11B,1,0.294,0.683,0.023,0.8M,"$14,064",$536,$1B,$0B,2.0%,中東,非常友好,Bahrain,88.4%,76,2003/12/1,0.01,,74,,22%,6752,57%,0.083,,3.7%,
